,total_price,total_freight,num_items,num_sellers,num_products,total_weight,num_photos,avg_distance_km,max_distance_km,min_distance_km,total_payment_value,num_payment_sequential,is_late
total_price,1.0,0.4186203424077852,0.14960934304033574,0.03745067981160894,0.06056745181243993,0.35019737722480604,0.09811496078313205,0.0779072839302924,0.07865211748646599,0.07711758430929817,0.9962227720794925,0.003625030232027312,0.016235358626868517
total_freight,0.4186203424077852,1.0,0.4458123743476897,0.13852762205935992,0.204134782762615,0.6518669738153898,0.1866619979665335,0.3212915412844556,0.3240650156114829,0.3182707364091984,0.49572431032780095,0.006094461668707981,0.025581717590304056
num_items,0.14960934304033574,0.4458123743476897,1.0,0.2847436168339932,0.472637475073036,0.23910022428571134,0.3893138089427408,-0.01818702469719078,-0.012587268544425824,-0.023512086958612413,0.18561828954332785,-0.003330634461614325,-0.02051325753009817
num_sellers,0.03745067981160894,0.13852762205935992,0.2847436168339932,1.0,0.5932969262959427,0.053871702226263786,0.1164038812322792,-0.006022189485772432,0.013369014703961167,-0.02512432625856453,0.049140434005601946,0.010584638979286189,-0.02986663065973766
num_products,0.06056745181243993,0.204134782762615,0.472637475073036,0.5932969262959427,1.0,0.08682197605199675,0.1886680837412222,-0.00842838696862519,0.0030931919015672465,-0.01957931208843507,0.07743235529886527,0.003536181996840245,-0.02551989438895734
total_weight,0.35019737722480604,0.6518669738153898,0.23910022428571134,0.053871702226263786,0.08682197605199675,1.0,0.10145671076427637,-0.009323960410827418,-0.008329679469856563,-0.01020877320118184,0.39708392386353675,0.014319739542059935,0.014932496484111034
num_photos,0.09811496078313205,0.1866619979665335,0.3893138089427408,0.1164038812322792,0.1886680837412222,0.10145671076427637,1.0,0.002344740471059026,0.004952769429783332,-0.00012066221877426576,0.11166777290354415,-0.007187516751200512,-0.010081947076800607
avg_distance_km,0.0779072839302924,0.3212915412844556,-0.01818702469719078,-0.006022189485772432,-0.00842838696862519,-0.009323960410827418,0.002344740471059026,1.0,0.9994825776691435,0.9995015683281211,0.10514917034760289,0.003578389610031502,0.07135358203820942
max_distance_km,0.07865211748646599,0.3240650156114829,-0.012587268544425824,0.013369014703961167,0.0030931919015672465,-0.008329679469856563,0.004952769429783332,0.9994825776691435,1.0,0.9980285521360516,0.10612924153773973,0.003767348186300339,0.0706888179784743
min_distance_km,0.07711758430929817,0.3182707364091984,-0.023512086958612413,-0.02512432625856453,-0.01957931208843507,-0.01020877320118184,-0.00012066221877426576,0.9995015683281211,0.9980285521360516,1.0,0.10410317091400575,0.003326346940704438,0.0719600344097672
total_payment_value,0.9962227720794925,0.49572431032780095,0.18561828954332785,0.049140434005601946,0.07743235529886527,0.39708392386353675,0.11166777290354415,0.10514917034760289,0.10612924153773973,0.10410317091400575,1.0,0.004035174161943064,0.01795245365175055
num_payment_sequential,0.003625030232027312,0.006094461668707981,-0.003330634461614325,0.010584638979286189,0.003536181996840245,0.014319739542059935,-0.007187516751200512,0.003578389610031502,0.003767348186300339,0.003326346940704438,0.004035174161943064,1.0,-0.008361681489750986
is_late,0.016235358626868517,0.025581717590304056,-0.02051325753009817,-0.02986663065973766,-0.02551989438895734,0.014932496484111034,-0.010081947076800607,0.07135358203820942,0.0706888179784743,0.0719600344097672,0.01795245365175055,-0.008361681489750986,1.0
