,count,mean,std,min,25%,50%,75%,max,median,skewness,range,outlier_count,outlier_percentage
total_price,67533.0,137.03888469340916,211.18735462559815,0.85,45.9,85.99,149.9,13440.0,85.99,10.4562269183436,13439.15,5374,7.957591103608606
total_freight,67533.0,22.766387988094714,21.0355696167655,0.0,13.86,17.16,23.96,1002.2900000000001,17.16,7.748606856717337,1002.2900000000001,6831,10.115054862067433
num_items,67533.0,1.1404054314187138,0.5347969285921548,1.0,1.0,1.0,1.0,20.0,1.0,7.244314575509123,19.0,6637,9.82778789628774
num_sellers,67533.0,1.0135489316334236,0.12208835594809606,1.0,1.0,1.0,1.0,5.0,1.0,10.138403570210835,4.0,871,1.289739830897487
num_products,67533.0,1.038159122206921,0.22754753837358352,1.0,1.0,1.0,1.0,8.0,1.0,8.22860900438771,7.0,2211,3.27395495535516
total_weight,67533.0,2387.280262982542,4786.087310730417,0.0,300.0,750.0,2050.0,154200.0,750.0,6.253384152512712,154200.0,9456,14.00204344542668
num_photos,67533.0,2.48217908281877,2.199363585122267,0.0,1.0,2.0,3.0,48.0,2.0,3.1866961784372925,48.0,3099,4.588867664697259
avg_distance_km,67210.0,601.0237157820964,594.5095964360241,0.0,188.96411720799935,432.7192163411512,798.8734560879038,8677.911621369074,432.7192163411512,1.7038839439920643,8677.911621369074,5249,7.772496409162928
max_distance_km,67210.0,602.3572387439508,594.9625449813752,0.0,190.144209927352,434.60621547198474,801.730822342712,8677.911621369074,434.60621547198474,1.7003317983105704,8677.911621369074,5233,7.748804288273881
min_distance_km,67210.0,599.7052957472926,594.5983911811385,0.0,184.05659709088593,430.7225979877203,797.9104962008312,8677.911621369074,430.7225979877203,1.7053628063107293,8677.911621369074,5217,7.725112167384834
total_payment_value,67533.0,159.83730576162765,220.84650781444932,9.59,61.79,105.08,175.77,13664.08,105.08,9.893616914478208,13654.49,5357,7.932418225163993
num_payment_sequential,67533.0,1.0444227266669628,0.35927089545266727,1.0,1.0,1.0,1.0,22.0,1.0,20.495888074826997,21.0,2066,3.0592451097981725
